,batting_team,bowling_team,city,current_score,balls_left,wicket_left,crr,last_five,runs_x
50072,Kolkata Knight Riders,Kings XI Punjab,Kolkata,67,69,8,7.882352941176471,41.0,163
42175,Mumbai Indians,Royal Challengers Bangalore,Mumbai,150,26,7,9.574468085106384,47.0,194
2309,Mumbai Indians,Kolkata Knight Riders,Kolkata,74,64,8,7.928571428571429,38.0,173
30906,Royal Challengers Bangalore,Chennai Super Kings,Chennai,58,73,8,7.404255319148936,36.0,161
1067,Kings XI Punjab,Mumbai Indians,Indore,70,59,9,6.885245901639344,29.0,198
3830,Mumbai Indians,Royal Challengers Bangalore,Mumbai,177,12,6,9.833333333333334,58.0,213
41159,Kings XI Punjab,Sunrisers Hyderabad,Hyderabad,55,60,7,5.5,26.0,123
20454,Royal Challengers Bangalore,Sunrisers Hyderabad,Dubai,124,24,7,7.75,34.0,163
24497,Royal Challengers Bangalore,Mumbai Indians,Bangalore,76,47,6,6.2465753424657535,36.0,122
15823,Kolkata Knight Riders,Delhi Capitals,Abu Dhabi,107,43,7,8.337662337662337,63.0,194
48755,Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,110,29,5,7.252747252747253,32.0,142
2907,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,58,71,8,7.1020408163265305,33.0,125
20033,Royal Challengers Bangalore,Kings XI Punjab,Sharjah,68,73,8,8.680851063829786,41.0,171
32407,Rajasthan Royals,Kolkata Knight Riders,Kolkata,65,70,9,7.8,47.0,132
15204,Mumbai Indians,Chennai Super Kings,Hyderabad,90,43,6,7.012987012987013,36.0,149
47750,Sunrisers Hyderabad,Rajasthan Royals,Ahmedabad,98,31,5,6.606741573033708,25.0,134
17903,Rajasthan Royals,Royal Challengers Bangalore,Abu Dhabi,39,82,7,6.157894736842105,26.0,154
53871,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,74,64,9,7.928571428571429,33.0,167
14193,Kings XI Punjab,Kolkata Knight Riders,Chandigarh,90,58,8,8.709677419354838,57.0,183
43314,Sunrisers Hyderabad,Royal Challengers Bangalore,Bangalore,153,8,6,8.196428571428571,68.0,161
43810,Sunrisers Hyderabad,Kings XI Punjab,Chandigarh,134,11,4,7.376146788990826,57.0,150
